Handle,Title,SKU,Barcode,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Option Active",Stock,Price,"Price Promo",Tax,Taxable,"Reduced Rate",Wholesale,"Price Wholesale","Wholesale Exclusive"
dominante-conjunto,,,,,1/2,,"Ré - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,1/2,,"Sol - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,1/2,,"Sol - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,1/2,,"Sol - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,1/2,,Conjunto,,Light,true,,42,,,,,,,
dominante-conjunto,,,,,1/2,,Conjunto,,Medium,true,,42,,,,,,,
dominante-conjunto,,,,,1/2,,Conjunto,,Strong,true,,42,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e cromo",,Light,true,,4.5,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e cromo",,Medium,true,,4.5,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e cromo",,Strong,true,,4.5,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e alumínio",,Light,true,,7,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e alumínio",,Medium,true,,7,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Mi - Aço e alumínio",,Strong,true,,7,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Lá - nylon e alumínio",,Light,true,,10,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Lá - nylon e alumínio",,Medium,true,,10,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Lá - nylon e alumínio",,Strong,true,,10,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - nylon e alumínio",,Light,true,,14,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - nylon e alumínio",,Medium,true,,14,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - nylon e alumínio",,Strong,true,,14,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Ré - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Sol - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Sol - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,"Sol - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,Conjunto,,Light,true,,42,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,Conjunto,,Medium,true,,42,,,,,,,
dominante-conjunto,,,,,"1/4 - 1/16",,Conjunto,,Strong,true,,42,,,,,,,
dominante-conjunto-2,"Tónica - Violino",,,Tamanho,4/4,Corda,"Mi - Aço",,,true,,3,,0,false,,false,,false
dominante-conjunto-2,,,,,4/4,,"Mi - Aço e Alumínio",,,true,,5,,,,,,,
dominante-conjunto-2,,,,,4/4,,"Lá - Alumínio",,,true,,6,,,,,,,
dominante-conjunto-2,,,,,4/4,,"Ré - Alumínio",,,true,,8,,,,,,,
dominante-conjunto-2,,,,,4/4,,"Ré - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,4/4,,"Sol - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,4/4,,Conjunto,,,true,,26,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Mi - Aço",,,true,,3,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Mi - Aço e Alumínio",,,true,,5,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Lá - Alumínio",,,true,,6,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Ré - Alumínio",,,true,,8,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Ré - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,3/4,,"Sol - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,3/4,,Conjunto,,,true,,26,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Mi - Aço",,,true,,3,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Mi - Aço e Alumínio",,,true,,5,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Lá - Alumínio",,,true,,6,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Ré - Alumínio",,,true,,8,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Ré - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,1/2,,"Sol - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,1/2,,Conjunto,,,true,,26,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Mi - Aço",,,true,,3,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Mi - Aço e Alumínio",,,true,,5,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Lá - Alumínio",,,true,,6,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Ré - Alumínio",,,true,,8,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Ré - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,"Sol - Prata",,,true,,9,,,,,,,
dominante-conjunto-2,,,,,"1/4 a 1/16",,Conjunto,,,true,,26,,,,,,,
dominante-conjunto-3,"Evah Pirazzi - Violino",,,Tamanho,4/4,Corda,"Mi - Aço",Tensão,Light,true,,5.5,,23,true,,false,,false
dominante-conjunto-3,,,,,4/4,,"Mi - Aço",,Medium,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Aço",,Heavy,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Aço e ouro",,Light,true,,11,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Aço e ouro",,Medium,true,,11,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Aço e ouro",,Heavy,true,,11,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Platina",,Light,true,,14,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Platina",,Medium,true,,14,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Mi - Platina",,Heavy,true,,14,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Lá - Alumínio",,Light,true,,19,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Lá - Alumínio",,Medium,true,,19,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Lá - Alumínio",,Heavy,true,,19,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Ré - Prata",,Light,true,,25,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Ré - Prata",,Medium,true,,25,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Ré - Prata",,Heavy,true,,25,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Sol - Prata",,Light,true,,28,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Sol - Prata",,Medium,true,,28,,,,,,,
dominante-conjunto-3,,,,,4/4,,"Sol - Prata",,Heavy,true,,28,,,,,,,
dominante-conjunto-3,,,,,4/4,,Conjunto,,Light,true,,70,,,,,,,
dominante-conjunto-3,,,,,4/4,,Conjunto,,Medium,true,,70,,,,,,,
dominante-conjunto-3,,,,,4/4,,Conjunto,,Heavy,true,,70,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço",,Light,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço",,Medium,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço",,Heavy,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço e ouro",,Light,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço e ouro",,Medium,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Aço e ouro",,Heavy,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Platina",,Light,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Platina",,Medium,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Mi - Platina",,Heavy,false,,0,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Lá - Alumínio",,Light,true,,15,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Lá - Alumínio",,Medium,true,,15,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Lá - Alumínio",,Heavy,true,,15,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Ré - Prata",,Light,true,,16,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Ré - Prata",,Medium,true,,16,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Ré - Prata",,Heavy,true,,16,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Sol - Prata",,Light,true,,18,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Sol - Prata",,Medium,true,,18,,,,,,,
dominante-conjunto-3,,,,,3/4,,"Sol - Prata",,Heavy,true,,18,,,,,,,
dominante-conjunto-3,,,,,3/4,,Conjunto,,Light,true,,53,,,,,,,
dominante-conjunto-3,,,,,3/4,,Conjunto,,Medium,true,,53,,,,,,,
dominante-conjunto-3,,,,,3/4,,Conjunto,,Heavy,true,,53,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço",,Light,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço",,Medium,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço",,Heavy,true,,5.5,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço e ouro",,Light,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço e ouro",,Medium,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Aço e ouro",,Heavy,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Platina",,Light,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Platina",,Medium,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Mi - Platina",,Heavy,false,,0,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Lá - Alumínio",,Light,true,,15,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Lá - Alumínio",,Medium,true,,15,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Lá - Alumínio",,Heavy,true,,15,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Ré - Prata",,Light,true,,16,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Ré - Prata",,Medium,true,,16,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Ré - Prata",,Heavy,true,,16,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Sol - Prata",,Light,true,,18,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Sol - Prata",,Medium,true,,18,,,,,,,
dominante-conjunto-3,,,,,1/2,,"Sol - Prata",,Heavy,true,,18,,,,,,,
dominante-conjunto-3,,,,,1/2,,Conjunto,,Light,true,,53,,,,,,,
dominante-conjunto-3,,,,,1/2,,Conjunto,,Medium,true,,53,,,,,,,
dominante-conjunto-3,,,,,1/2,,Conjunto,,Heavy,true,,53,,,,,,,
vlstentor-student-ii,"Violino Stentor Student II",,,Tamanho,4/4,Montagem,Standard,,,true,,189,,0,false,,false,,false
vlstentor-student-ii,,,,,4/4,,"Montagem Atelier do Tejo",,,true,,214,,,,,,,
vlstentor-student-ii,,,,,4/4,,"Atelier do Tejo + Thomastik",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,4/4,,"Atelier do Tejo + Pirastro",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,4/4,,"Atelier do Tejo + Charm",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,3/4,,Standard,,,true,,189,,,,,,,
vlstentor-student-ii,,,,,3/4,,"Montagem Atelier do Tejo",,,true,,214,,,,,,,
vlstentor-student-ii,,,,,3/4,,"Atelier do Tejo + Thomastik",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,3/4,,"Atelier do Tejo + Pirastro",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,3/4,,"Atelier do Tejo + Charm",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/2,,Standard,,,true,,189,,,,,,,
vlstentor-student-ii,,,,,1/2,,"Montagem Atelier do Tejo",,,true,,214,,,,,,,
vlstentor-student-ii,,,,,1/2,,"Atelier do Tejo + Thomastik",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/2,,"Atelier do Tejo + Pirastro",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/2,,"Atelier do Tejo + Charm",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/4,,Standard,,,true,,189,,,,,,,
vlstentor-student-ii,,,,,1/4,,"Montagem Atelier do Tejo",,,true,,214,,,,,,,
vlstentor-student-ii,,,,,1/4,,"Atelier do Tejo + Thomastik",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/4,,"Atelier do Tejo + Pirastro",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/4,,"Atelier do Tejo + Charm",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/8,,Standard,,,true,,189,,,,,,,
vlstentor-student-ii,,,,,1/8,,"Montagem Atelier do Tejo",,,true,,214,,,,,,,
vlstentor-student-ii,,,,,1/8,,"Atelier do Tejo + Thomastik",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/8,,"Atelier do Tejo + Pirastro",,,true,,234,,,,,,,
vlstentor-student-ii,,,,,1/8,,"Atelier do Tejo + Charm",,,true,,234,,,,,,,
vlstentor-student-i,"Violino Stentor Student I",,,Tamanho,4/4,Montagem,Standard,,,true,,149,,0,false,,false,,false
vlstentor-student-i,,,,,4/4,,"Montagem Atelier do Tejo",,,true,,169,,,,,,,
vlstentor-student-i,,,,,4/4,,"Atelier to Tejo + Thomastik",,,true,,189,,,,,,,
vlstentor-student-i,,,,,4/4,,"Atelier do Tejo + Pirastro",,,true,,189,,,,,,,
vlstentor-student-i,,,,,4/4,,"Atelier do Tejo + Charm",,,true,,189,,,,,,,
vlstentor-student-i,,,,,3/4,,Standard,,,true,,149,,,,,,,
vlstentor-student-i,,,,,3/4,,"Montagem Atelier do Tejo",,,true,,169,,,,,,,
vlstentor-student-i,,,,,3/4,,"Atelier to Tejo + Thomastik",,,true,,189,,,,,,,
vlstentor-student-i,,,,,3/4,,"Atelier do Tejo + Pirastro",,,true,,189,,,,,,,
vlstentor-student-i,,,,,3/4,,"Atelier do Tejo + Charm",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/2,,Standard,,,true,,149,,,,,,,
vlstentor-student-i,,,,,1/2,,"Montagem Atelier do Tejo",,,true,,169,,,,,,,
vlstentor-student-i,,,,,1/2,,"Atelier to Tejo + Thomastik",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/2,,"Atelier do Tejo + Pirastro",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/2,,"Atelier do Tejo + Charm",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/4,,Standard,,,true,,149,,,,,,,
vlstentor-student-i,,,,,1/4,,"Montagem Atelier do Tejo",,,true,,169,,,,,,,
vlstentor-student-i,,,,,1/4,,"Atelier to Tejo + Thomastik",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/4,,"Atelier do Tejo + Pirastro",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/4,,"Atelier do Tejo + Charm",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/8,,Standard,,,true,,149,,,,,,,
vlstentor-student-i,,,,,1/8,,"Montagem Atelier do Tejo",,,true,,169,,,,,,,
vlstentor-student-i,,,,,1/8,,"Atelier to Tejo + Thomastik",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/8,,"Atelier do Tejo + Pirastro",,,true,,189,,,,,,,
vlstentor-student-i,,,,,1/8,,"Atelier do Tejo + Charm",,,true,,189,,,,,,,
almofada-kun-original-dobravel,"Almofada Kun - Original / Dobrável",,,Tamanho,"1/8 a 1/4",Modelo,Original,,,true,,24,,0,false,,false,,false
almofada-kun-original-dobravel,,,,,"1/8 a 1/4",,Dobrável,,,true,,39,,,,,,,
almofada-kun-original-dobravel,,,,,"1/2 a 3/4",,Original,,,true,,30,,,,,,,
almofada-kun-original-dobravel,,,,,"1/2 a 3/4",,Dobrável,,,true,,36,,,,,,,
almofada-kun-original-dobravel,,,,,4/4,,Original,,,true,,34,,,,,,,
almofada-kun-original-dobravel,,,,,4/4,,Dobrável,,,true,,36,,,,,,,
almofada-kun-original-dobravel-2,"Almofada Gel - Violino",,,modelo,7cm,,,,,true,,7,,0,false,,false,,false
almofada-kun-original-dobravel-2,,,,,9cm,,,,,true,,7,,,,,,,
almofada-kun-original-dobravel-2,,,,,baleia,,,,,true,,7,,,,,,,
almofada-kun-original-dobravel-2,,,,,pato,,,,,true,,7,,,,,,,
almofada-kun-original-dobravel-3,"Almofada Everest Colorida- Violino",,,Tamanho,"1/10 a 1/4",Cores,Azul,,,true,,24,,0,false,,false,,false
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Verde,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Rosa,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Laranja,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Vermelho,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Lilaz,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/10 a 1/4",,Prateado,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Azul,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Verde,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Rosa,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Laranja,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Vermelho,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Lilaz,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"1/2 a 3/4",,Prateado,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Azul,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Verde,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Rosa,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Laranja,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Vermelho,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Lilaz,,,true,,24,,,,,,,
almofada-kun-original-dobravel-3,,,,,"3/4 a 4/4",,Prateado,,,true,,24,,,,,,,
estojo-violino-gewa-pure-1-8,"Estojo violino Gewa Pure 1.8",,,Cor,Vermelho,,,,,true,,210,,0,false,,false,,false
estojo-violino-gewa-pure-1-8,,,,,Cinzento,,,,,true,,210,,,,,,,
estojo-violino-gewa-pure-1-8,,,,,Negro,,,,,true,,210,,,,,,,
estojo-violino-gewa-pure-1-8,,,,,Branco,,,,,true,,210,,,,,,,
montagem-e-ajuste-de-instrumento-inicial,"Luthier instrumentos de arco - Montagem e ajuste de instrumento de arco - Inicial",,,Instrumento,Violino,,,,,true,,40,,0,false,,false,,false
montagem-e-ajuste-de-instrumento-inicial,,,,,"Viola de arco",,,,,true,,45,,,,,,,
montagem-e-ajuste-de-instrumento-inicial,,,,,Violoncelo,,,,,true,,60,,,,,,,
montagem-e-ajuste-de-instrumento-inicial,,,,,Contrabaixo,,,,,true,,80,,,,,,,
thomastik-rondo-conjunto,"Rondo - Conjunto e Experience",,,Conjunto,Standard,,,,,true,,300,290,0,false,,false,,false
thomastik-rondo-conjunto,,,,,Experience,,,,,true,,320,305,,,,,,
rondo-thomastik-violoncelo,"Rondo - Thomastik - Violoncelo",,,Corda,"LA RO41",,,,,true,,43,,0,false,,false,,false
rondo-thomastik-violoncelo,,,,,"LA RO41XP Experience",,,,,true,,52.5,,,,,,,
rondo-thomastik-violoncelo,,,,,"RÉ RO43",,,,,true,,42.5,,,,,,,
rondo-thomastik-violoncelo,,,,,"Sol RO43",,,,,true,,98,,,,,,,
rondo-thomastik-violoncelo,,,,,"Dó RO44",,,,,true,,112,,,,,,,
rondo-conjunto-violino,"Rondo - Conjunto Viola de Arco",,,,,,,,,,,100,,23,true,,false,,false
rondo-conjunto-violino-2,"Rondo - Violino",,,Corda,"MI RO01",,,,,true,,7.5,,23,true,,false,,false
rondo-conjunto-violino-2,,,,,"Lá RO02",,,,,true,,18,,,,,,,
rondo-conjunto-violino-2,,,,,"LÁ RO02A - Superior",,,,,true,,22,,,,,,,
rondo-conjunto-violino-2,,,,,"Ré RO03",,,,,true,,26,,,,,,,
rondo-conjunto-violino-2,,,,,"Sol RO04",,,,,true,,26,,,,,,,
rondo-cordas-viola-de-arco,"Rondo - Cordas Viola de Arco",,,Cordas,"Lá RO21",,,,,true,,22,,23,true,,false,,false
rondo-cordas-viola-de-arco,,,,,"Ré RO22",,,,,true,,25,,,,,,,
rondo-cordas-viola-de-arco,,,,,"Sol RO23",,,,,true,,23.5,,,,,,,
rondo-cordas-viola-de-arco,,,,,"Dó RO24",,,,,true,,34,,,,,,,
